serZone;type;tag;description
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ56 (location Y.Ruisbroek, interGrid 9667 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ72 (location Ruisbroek, interGrid 9667 - 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal BZ98 (location Buizingen, grid 9665)
FBMZ;stopSignal without indi:id;FIXED;stopSignal C-I.1 (location Bruss-Zuid, grid 9678)
FBMZ;stopSignal without indi:id;FIXED;stopSignal C-K.1 (location Y.Kuregem, grid 2801)
FBMZ;stopSignal without indi:id;FIXED;stopSignal C-N.1 (location Halle, grid 9460)
FBMZ;stopSignal without indi:id;FIXED;stopSignal C-O.1 (location Anderlecht-W, grid 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal C-R.1 (location Y.Ruisbroek, grid 9669)
FBMZ;stopSignal without indi:id;FIXED;stopSignal C2-F.1 (location Bruss-Zuid, grid 1)
FBMZ;stopSignal without indi:id;FIXED;stopSignal C4-F.1 (location Bruss-Zuid, grid 1)
FBMZ;stopSignal without indi:id;FIXED;stopSignal C6-F.1 (location Bruss-Zuid, grid 1)
FBMZ;stopSignal without indi:id;FIXED;stopSignal CX-K.1 (location Y.Kuregem, grid 2801)
FBMZ;stopSignal without indi:id;FIXED;stopSignal CX-O.1 (location Anderlecht-W, grid 5021)
FBMZ;stopSignal without indi:id;FIXED;stopSignal CX1-F.1 (location Bruss-Zuid, grid 1)
FBMZ;stopSignal without indi:id;FIXED;stopSignal CX3-F.1 (location Bruss-Zuid, grid 1)
